DEVICE,Tester Type,Tester Config,Handler,Handler Config,Temperature,LogPoint,PPH
TLV320DAC3120IRHBR,VLCT-X1,VLCT-X1,,,,,1673
TLV320DAC3120IRHBT,VLCT-X1,VLCT-X1,,,,,1673
TLV320DAC32IRHBR,VLCT-X1,VLCT-X1,,,,,1409
TLV62065DSGR,EAGLE,EAGLE,,,,,14873
TLV62065DSGT,EAGLE,EAGLE,,,,,14873
TLV62080DSGR,EAGLE,EAGLE,,,,,12113
TLV62080DSGT,EAGLE,EAGLE,,,,,12113
TLV62084DSGR,EAGLE,EAGLE,,,,,17480
TLV62084DSGT,EAGLE,EAGLE,,,,,17480
TLV62090RGTR,EAGLE,EAGLE,,,,,4173
TLV62090RGTT,EAGLE,EAGLE,,,,,4173
TLV62130ARGTR,EAGLE,EAGLE,,,,,4321
TLV62130ARGTT,EAGLE,EAGLE,,,,,4321
TLV62130RGTR,EAGLE,EAGLE,,,,,4385
TLV62130RGTT,EAGLE,EAGLE,,,,,4385
TLV62150ARGTR,EAGLE,EAGLE,,,,,4139
TLV62150ARGTT,EAGLE,EAGLE,,,,,4139
TLV62150RGTR,EAGLE,EAGLE,,,,,4566
TLV62150RGTT,EAGLE,EAGLE,,,,,4566
TLV70719PDQNR,EAGLE,EAGLE,,,,,6371
TMP512AIRSAR,EAGLE,EAGLE,,,,,616
TMP512AIRSAT,EAGLE,EAGLE,,,,,616
TMP513AIRSAR,EAGLE,EAGLE,,,,,608
TMP513AIRSAT,EAGLE,EAGLE,,,,,608
TMS320F28030RSHT,VLCT-X1,VLCT-X1,,,,,297
TMS320F28033RSHS,VLCT-X1,VLCT-X1,,,,,297
TMS320F28033RSHT,VLCT-X1,VLCT-X1,,,,,297
TMS320F28034RSHS,VLCT-X1,VLCT-X1,,,,,297
TMS320F28035RSHS,VLCT-X1,VLCT-X1,,,,,297
TMS320F28035RSHT,VLCT-X1,VLCT-X1,,,,,285
TMX320F28035RSHS,VLCT-X1,VLCT-X1,,,,,297
TPA2005D1DRBR,EAGLE,EAGLE,,,,,3472
TPA2006D1DRBR,EAGLE,EAGLE,,,,,3401
TPA2006D1DRBT,EAGLE,EAGLE,,,,,3401
TPA2012D2RTJR,EAGLE,EAGLE,,,,,3622
TPA2012D2RTJT,EAGLE,EAGLE,,,,,3622
TPA2013D1RGPR,EAGLE,EAGLE,,,,,887
TPA2014D1RGPR,EAGLE,EAGLE,,,,,1532
TPA2014D1RGPT,EAGLE,EAGLE,,,,,1532
TPA2016D2RTJR,EAGLE,EAGLE,,,,,2371
TPA2016D2RTJT,EAGLE,EAGLE,,,,,2371
TPA2016D2V3RTJR,EAGLE,EAGLE,,,,,2378
TPA2017D2RTJR,EAGLE,EAGLE,,,,,2421
TPA2017D2RTJT,EAGLE,EAGLE,,,,,2421
TPA3117D2RHBR,VLCT-X1,VLCT-X1,,,,,2764
TPA3117D2RHBT,VLCT-X1,VLCT-X1,,,,,2764
