LOT,DEVICE,PACKAGE,PIN,CUR_QTY,WEIGHT,LOT_NAME,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOT_TIME,MACHINE_INSTANCE
5950422,D97395Q4M-LNKE,4.5X3.5       ,DPC          ,      7804,      2036,5950422     ,4410,1,        14.24,       12.8,     19.46,                   ,10/30/2015 06:06:11,
5950424,D97395Q4M-LNKE,4.5X3.5       ,DPC          ,      7692,      2036,5950424     ,4410,1,        14.24,       12.8,     19.46,                   ,10/30/2015 06:06:11,
5967692,D97395Q4M-LNKE,4.5X3.5       ,DPC          ,      4574,      2036,5967692     ,4410,1,        14.24,       12.8,     19.46,                   ,10/30/2015 06:06:11,
5950426,D97395Q4M-LNKE,4.5X3.5       ,DPC          ,      7804,      2036,5950426     ,4410,1,        14.24,       12.8,     19.46,                   ,10/30/2015 06:06:11,
5950431,D97395Q4M-LNKE,4.5X3.5       ,DPC          ,      7861,      2036,5950431     ,4410,1,        14.24,       12.8,     19.46,                   ,10/30/2015 06:06:11,
5950421,D97395Q4M-LNKE,4.5X3.5       ,DPC          ,      6454,      2036,5950421     ,4410,1,        14.24,       12.8,     19.46,                   ,10/30/2015 06:06:11,
5950425,D97395Q4M-LNKE,4.5X3.5       ,DPC          ,      7747,      2036,5950425     ,4410,1,        14.24,       12.8,     19.46,                   ,10/30/2015 06:06:11,
5950432,D97395Q4M-LNKE,4.5X3.5       ,DPC          ,      7801,      2036,5950432     ,4410,1,        14.24,       12.8,     19.46,                   ,10/30/2015 06:06:11,
5988289,S51363RVER-LNY,4.5X3.5       ,RVECLIP      ,        77,      1992,5988289     ,4410,1,        16.86,      15.53,     19.14,                   ,10/30/2015 06:06:11,
5906930,S54429ERSAR2-L,4X4           ,RSA          ,      4972,      1943,5906930     ,4410,1,            0,       12.1,     32.08,                   ,10/30/2015 06:06:11,
5906928,S54429ERSAR2-L,4X4           ,RSA          ,      6560,      1943,5906928     ,4410,1,            0,       12.1,     32.08,                   ,10/30/2015 06:06:11,
5952248,PS51518RUKR-LK,3X3           ,RUK          ,     13767,      1942,5952248     ,4410,1,        13.22,       12.3,     19.05,                   ,10/30/2015 06:06:11,
5952247,PS51518RUKR-LK,3X3           ,RUK          ,     13812,      1942,5952247     ,4410,1,        13.22,       12.3,     19.05,                   ,10/30/2015 06:06:11,
5952246,PS51518RUKR-LK,3X3           ,RUK          ,     13810,      1942,5952246     ,4410,1,        13.22,       12.3,     19.05,                   ,10/30/2015 06:06:11,
5952250,PS51518RUKR-LK,3X3           ,RUK          ,     10873,      1942,5952250     ,4410,1,        13.22,       12.3,     19.05,                   ,10/30/2015 06:06:11,
5952249,PS51518RUKR-LK,3X3           ,RUK          ,     13807,      1942,5952249     ,4410,1,        13.22,       12.3,     19.05,                   ,10/30/2015 06:06:11,
5952251,PS51518RUKR-LK,3X3           ,RUK          ,      6895,      1942,5952251     ,4410,1,        13.22,       12.3,     19.05,                   ,10/30/2015 06:06:11,
5932956,BQ25892RTWR-G2,4X4           ,RTWST300     ,      5853,      1916,5932956     ,4410,1,        15.71,      20.64,     24.63,                   ,10/30/2015 06:06:11,
5932950,BQ25892RTWR-G2,4X4           ,RTWST300     ,      7862,      1916,5932950     ,4410,1,        15.71,      20.64,     24.63,                   ,10/30/2015 06:06:11,
5932951,BQ25892RTWR-G2,4X4           ,RTWST300     ,      5026,      1916,5932951     ,4410,1,        15.71,      20.64,     24.63,                   ,10/30/2015 06:06:11,
5932952,BQ25892RTWR-G2,4X4           ,RTWST300     ,     10072,      1916,5932952     ,4410,1,        15.71,      20.64,     24.63,10/29/2015 02:33:47,10/30/2015 06:06:11,CLFTEA52
5953466,54328DRCRP-G2Y,3X3           ,DRC          ,     13811,      1913,5953466     ,4410,1,         13.2,      12.29,     18.77,                   ,10/30/2015 06:06:11,
5953470,54328DRCRP-G2Y,3X3           ,DRC          ,      6893,      1913,5953470     ,4410,1,         13.2,      12.29,     18.77,                   ,10/30/2015 06:06:11,
5953469,54328DRCRP-G2Y,3X3           ,DRC          ,     10066,      1913,5953469     ,4410,1,         13.2,      12.29,     18.77,                   ,10/30/2015 06:06:11,
