"pkgtype","tester_req","EDGE_LB","pkg_size","Device_Name","Pin","Package","expected_output_2_days","expected_avg_output_per_day","cap_per_day","wip_post_WB","wip_ft1","wip_ft2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","Total_queue_1_tester"
NULL,"ETS-2-64","6514558B",NULL,"53315RGFR-LS2Y",NULL,NULL,"77","38.5","64701.18","0","77","0","0","0","0","0.0011900864868306883"
NULL,"ETS-2-128","6528917B",NULL,"44C20RVFT1-LN#",NULL,NULL,"3550","1775","16624.76","7154","0","0","0.43","0","0","0.430322001640926"
NULL,"ETS-2-64","6528917B",NULL,"44C20RVFT1-LN#",NULL,NULL,"3604","1802","16624.76","7154","0","0","0.43","0","0","0.430322001640926"
NULL,"ETS-1-64","6519267C",NULL,"AFE031AIRGZR-C",NULL,NULL,"2239","1119.5","51826.08","2239","0","0","0.04","0","0","0.04320218700700497"
NULL,"ETS-1-64","6519267C",NULL,"FE030AIRGZR-CK",NULL,NULL,"2218","1109","49825.88","5151","0","0","0.1","0","0","0.10338001054873491"
NULL,"ETS-S-64","6519267C",NULL,"FE030AIRGZR-CK",NULL,NULL,"2933","1466.5","49825.88","5151","0","0","0.1","0","0","0.10338001054873491"
NULL,"ETS-2-64","6545193C",NULL,"AFE032IRGZR-C",NULL,NULL,"2232","1116","35270.19","5406","0","0","0.15","0","0","0.15327391204867338"
NULL,"ETS-2-64","6545193C",NULL,"AFE032IRGZT-C",NULL,NULL,"2404","1202","35270.19","20260","0","0","0.57","0","0","0.5744227632456756"
NULL,"ETS-2-64","6570774A",NULL,"S65175RSHR2-UN",NULL,NULL,"93289","46644.5","27367.92","0","93289","0","0","3.41","0","3.4086989438729725"
NULL,"ETS-2-64","6570729C",NULL,"TPS2388RTQR-C",NULL,NULL,"19837","9918.5","2726.33","52586","68106","0","19.29","24.98","0","44.26903566332763"
NULL,"ETS-2-64","6570729C",NULL,"TPS2388RTQT-C",NULL,NULL,"1842","921","0","1842","0","0","0","0","0","0"
NULL,"ETS-2-64","No_Tooling",NULL,"50842A0RSKR-G2",NULL,NULL,"2969","1484.5","0","0","2969","0","0","0","0","0"
