 Tester , TesterConfig , PackageSize , Initial_LoadBoard , Optimizer_LoadBoard , N_Lots , SUM_QTY , ChangeOver , Hours , PKGTYPE , PIN , CAP_PER_DAY , WIP_POST_WB , WIP_FT1 , WIP_FT2 , POST_WB_QUEUE , TEST_QUEUE_FT1 , TEST_QUEUE_FT2 , TOTAL_WIP 
 CLFTEA74 , ETS-2-64 , 5X5 , 6542777B                                      , 6568521A , 1 , 5872 , 1 , 1.67 , STD   , RHB300        , 86352.66 , 41139 , 45037 , 0 , 0.48 , 0.52 , 0 , 1 
 CLFTEA75 , ETS-2-64 , 4.5X3.5 , 6543758C                                      , 6543758C , 26 , 139128 , 0 , 47.40 , CLIP  , RVECLIP       , 76509.69 , 211611 , 668665 , 0 , 2.77 , 8.74 , 0 , 11.51 
 CLFTEA76 , ETS-2-64 , 3X3 , 6547181A                                      , 6547181A , 6 , 82847 , 0 , 35.49 , STD   , DRC           , 56195.92 , 55261 , 12659 , 0 , 0.98 , 0.23 , 0 , 1.21 
 CLFTEA76 , ETS-2-64 , 4X3 , 6547181A                                      , 6568858D , 1 , 500 , 1 , 0.38 , STD   , RVC300        , 31944.65 , 0 , 500 , 0 , 0 , 0.02 , 0 , 0.02 
 CLFTEA76 , ETS-2-64 , 4X4 , 6547181A                                      , 6571495A , 3 , 30181 , 2 , 11.77 , STD   , RUY300        , 61544.65 , 201043 , 859940 , 0 , 3.27 , 13.97 , 0 , 17.24 
 CLFTEA77 , ETS-2-64 , 3.5X3.5 , 6487925B                                      , 6487925B , 12 , 129766 , 0 , 47.97 , STD   , RHL           , 64296.08 , 79131 , 458959 , 0 , 1.23 , 7.14 , 0 , 8.37 
 CLFTEA78 , ETS-2-64 , 4X4 , 6578526A                                      , 6578526A , 10 , 77726 , 0 , 25.10 , STD   , RSN300        , 74048.07 , 5026 , 0 , 0 , 0.07 , 0 , 0 , 0.07 
 CLFTEA78 , ETS-2-64 , 4X4 , 6578526A                                      , 6571495A , 6 , 57635 , 1 , 22.48 , STD   , RUY300        , 61544.65 , 201043 , 859940 , 0 , 3.27 , 13.97 , 0 , 17.24 
 CLFTEA79 , ETS-2M-64 , 2X2 , 6570316D                                      , 6570316D , 10 , 214641 , 0 , 45.89 , STRIP , DSQST         , 113261.58 , 0 , 350681 , 0 , 0 , 3.1 , 0 , 3.1 
 CLFTEA79 , ETS-2M-64 , 4X4 , 6570316D                                      , 6525585A , 1 , 5694 , 1 , 2.09 , STD   , RGELLF        , 65338.49 , 167931 , 679729 , 0 , 2.57 , 10.4 , 0 , 12.97 
 CLFTEA80 , ETS-2-64 , 4X4 , 6571495A                                      , 6571495A , 13 , 122031 , 0 , 47.97 , STD   , RUY300        , 60982.24 , 5025 , 208382 , 0 , 0.08 , 3.42 , 0 , 3.5 
 CLFTEA81 , ETS-2-64 , 4.0X3.5 , 6520958B                                      , 6520958B , 13 , 80871 , 0 , 47.19 , STD   , RGB300        , 39398.4 , 39564 , 159906 , 0 , 1 , 4.06 , 0 , 5.06 
 CLFTEA83 , ETS-2-64 , 4X4 , 6525585A                                      , 6525585A , 13 , 128424 , 0 , 47.09 , STD   , RGE300LLF     , 65468.26 , 264513 , 623809 , 0 , 4.04 , 9.53 , 0 , 13.57 
 CLFTEA84 , ETS-2-64 , 4X4 , 6525585A                                      , 6525585A , 13 , 128913 , 0 , 47.23 , STD   , RGE300LLF     , 65523.87 , 264513 , 623809 , 0 , 4.04 , 9.52 , 0 , 13.56 
 CLFTEA85 , ETS-2M-64 , 4.5X3.5 , 6529675B                                      , 6515575A , 5 , 38984 , 1 , 17.61 , STD   , RHL           , 53127.72 , 0 , 38984 , 0 , 0 , 0.73 , 0 , 0.73 
 CLFTEA85 , ETS-2M-64 , 6X5 , 6529675B                                      , 6514494A , 13 , 81757 , 2 , 30.05 , CLIP  , DQPCLIP       , 64857.98 , 6617 , 6763 , 0 , 0.1 , 0.1 , 0 , 0.21 
 CLFTEA86 , ETS-2-64 , 3X3 , 6569306A                                      , 6569306A , 15 , 154927 , 0 , 46.72 , STD   , RTE300        , 79630.58 , 96571 , 168224 , 0 , 1.21 , 2.11 , 0 , 3.33 
 CLFTEA87 , ETM-4-64 , 4X4 , 6556725A                                      , 6556725A , 7 , 57853 , 0 , 43.31 , STD   , RGE300LLF     , 32052.94 , 20009 , 127639 , 0 , 0.62 , 3.98 , 0 , 4.61 
 CLFTEA87 , ETM-4-64 , 4X4 , 6556725A                                      , 6546767B , 4 , 35276 , 1 , 4.50 , STD   , RGPST300      , 188160 , 71038 , 240513 , 0 , 0.38 , 1.28 , 0 , 1.66 
 CLFTEA88 , ETS-2-64 , 5X5 , 6546054A                                      , 6546054A , 4 , 16199 , 0 , 39.70 , STD   , RSB300        , 9794.62 , 0 , 51626 , 0 , 0 , 5.27 , 0 , 5.27 
 CLFTEA88 , ETS-2-64 , 4.5X3.5 , 6546054A                                      , 6543758C , 3 , 22390 , 1 , 7.64 , CLIP  , RVECLIP       , 77038.32 , 211611 , 668665 , 0 , 2.75 , 8.68 , 0 , 11.43 
 CLFTEA89 , ETM-5-128 , 4X4 , 6579768C                                      , 6579768C , 25 , 200747 , 0 , 47.79 , STD   , RTWST300      , 100240.07 , 585909 , 2179058 , 0 , 5.85 , 21.74 , 0 , 27.58 
 CLFTEA9 , ETS-0-64 , 3X3 , 6513992A                                      , 6513992A , 14 , 183742 , 0 , 46.85 , STD   , RGTLLF        , 94672.11 , 0 , 19755 , 0 , 0 , 0.21 , 0 , 0.21 
