actual_tester_index,tester_index,tester_config,loadboard_type,setup_change,Package,apu_tester,package_type,package_size,device_name,Completion_Time
,20,ETS-S-64,PS61161DRVR-LK,,10/10/2015 20:38:57,20,,,N,10/10/2015 10:33:57
,20,ETS-S-64,PS61161DRVR-LK,,10/10/2015 10:38:56,20,,,N,10/10/2015 10:33:57
,20,ETS-S-64,S61170DRVR2-LK,setup change,10/10/2015 20:22:46,20,,,N,10/10/2015 10:33:57
,22,ETS-0-64,TPS54519RTER-R,,10/9/2015 16:53:52,22,,,N,10/09/2015 02:06:09
,22,ETS-0-64,TPS54519RTER-R,,10/10/2015 16:59:30,22,,,N,10/09/2015 02:06:09
,22,ETS-0-64,TPS54519RTER-R,,10/9/2015 10:54:49,22,,,N,10/09/2015 02:06:09
,22,ETS-0-64,TPS54519RTER-R,,10/10/2015 10:56:58,22,,,N,10/09/2015 02:06:09
,22,ETS-0-64,4519RTER1-RQR&,setup change,10/9/2015 5:54:24,22,,,N,10/09/2015 02:06:09
,22,ETS-0-64,TPS54519RTER-R,setup change,10/10/2015 4:54:27,22,,,N,10/09/2015 02:06:09
,22,ETS-0-64,4519RTER1-RQR&,setup change,10/9/2015 2:11:7,22,,,N,10/09/2015 02:06:09
,22,ETS-0-64,TPS54519RTER-R,setup change,10/9/2015 22:51:58,22,,,N,10/09/2015 02:06:09
,22,ETS-0-64,TPS54519RTER-R,,10/10/2015 23:6:32,22,,,N,10/10/2015 23:01:33
,23,ETS-2-64,CSD59968Q5M-LN,,10/9/2015 3:11:54,23,,,N,10/09/2015 02:06:09
,23,ETS-2-64,CSD59968Q5M-LN,,10/9/2015 9:28:50,23,,,N,10/09/2015 02:06:09
,23,ETS-2-64,CSD59968Q5M-LN,,10/9/2015 15:6:50,23,,,N,10/09/2015 02:06:09
,23,ETS-2-64,CSD59968Q5M-LN,,10/9/2015 23:16:32,23,,,N,10/09/2015 02:06:09
,23,ETS-2-64,CSD59968Q5M-LN,,10/10/2015 6:35:46,23,,,N,10/09/2015 02:06:09
,23,ETS-2-64,CSD59968Q5M-LN,,10/10/2015 15:12:58,23,,,N,10/09/2015 02:06:09
,23,ETS-2-64,CSD59968Q5M-LN,,10/10/2015 22:53:29,23,,,N,10/09/2015 02:06:09
,23,ETS-2-64,CSD59968Q5M-LN,,10/9/2015 4:18:2,23,,,N,10/09/2015 02:06:09
,23,ETS-2-64,CSD59968Q5M-LN,,10/9/2015 10:22:15,23,,,N,10/09/2015 02:06:09
,23,ETS-2-64,CSD59968Q5M-LN,,10/9/2015 17:4:22,23,,,N,10/09/2015 02:06:09
,23,ETS-2-64,CSD59968Q5M-LN,,10/10/2015 0:54:45,23,,,N,10/09/2015 02:06:09
,23,ETS-2-64,CSD59968Q5M-LN,,10/10/2015 8:44:20,23,,,N,10/09/2015 02:06:09
,23,ETS-2-64,CSD59968Q5M-LN,,10/10/2015 16:36:31,23,,,N,10/09/2015 02:06:09
,23,ETS-2-64,CSD59968Q5M-LN,,10/9/2015 5:57:10,23,,,N,10/09/2015 02:06:09
,23,ETS-2-64,CSD59968Q5M-LN,,10/9/2015 11:57:48,23,,,N,10/09/2015 02:06:09
,23,ETS-2-64,CSD59968Q5M-LN,,10/9/2015 19:8:57,23,,,N,10/09/2015 02:06:09
,23,ETS-2-64,CSD59968Q5M-LN,,10/10/2015 2:59:8,23,,,N,10/09/2015 02:06:09
,23,ETS-2-64,CSD59968Q5M-LN,,10/10/2015 10:54:17,23,,,N,10/09/2015 02:06:09
,23,ETS-2-64,CSD59968Q5M-LN,,10/10/2015 18:45:40,23,,,N,10/09/2015 02:06:09
,23,ETS-2-64,CSD59968Q5M-LN,,10/9/2015 2:11:7,23,,,N,10/09/2015 02:06:09
,23,ETS-2-64,CSD59968Q5M-LN,,10/9/2015 7:22:46,23,,,N,10/09/2015 02:06:09
,23,ETS-2-64,CSD59968Q5M-LN,,10/9/2015 13:0:31,23,,,N,10/09/2015 02:06:09
,23,ETS-2-64,CSD59968Q5M-LN,,10/9/2015 21:18:58,23,,,N,10/09/2015 02:06:09
,23,ETS-2-64,CSD59968Q5M-LN,,10/10/2015 5:8:52,23,,,N,10/09/2015 02:06:09
,23,ETS-2-64,CSD59968Q5M-LN,,10/10/2015 13:3:31,23,,,N,10/09/2015 02:06:09
,23,ETS-2-64,CSD59968Q5M-LN,,10/10/2015 20:44:31,23,,,N,10/09/2015 02:06:09
,23,ETS-2-64,S51200DRCR-G2Y,setup change,10/11/2015 1:6:35,23,,,N,10/11/2015 01:01:36
,24,ETS-2-64,S62086RLTR-LN#,,10/9/2015 2:11:7,24,,,N,10/09/2015 02:06:09
,24,ETS-2-64,S62086RLTR-LN#,,10/9/2015 2:41:56,24,,,N,10/09/2015 02:06:09
,24,ETS-2-64,S62086RLTR-LN#,,10/9/2015 3:42:18,24,,,N,10/09/2015 02:06:09
,24,ETS-2-64,D97374Q4M-LNKE,setup change,10/9/2015 5:34:9,24,,,N,10/09/2015 04:17:45
,24,ETS-2-64,D97374Q4M-LNKE,,10/9/2015 12:46:0,24,,,N,10/09/2015 04:17:45
,24,ETS-2-64,D97374Q4M-LNKE,,10/9/2015 19:53:28,24,,,N,10/09/2015 04:17:45
,24,ETS-2-64,D97374Q4M-LNKE,,10/10/2015 2:58:2,24,,,N,10/09/2015 04:17:45
