"device","logpoint","quantity","average_capacity","Queue"
"24735RGRR1-G2K","1420","15110","87959.22","0.17"
"24735RGRR1-G2K","2100","38640","87959.22","0.44"
"24735RGRR1-G2K","4410","139795","87959.22","1.59"
"24737RGRR1-G2K","1410","11869","79297.63","0.15"
"24737RGRR1-G2K","1420","30041","79297.63","0.38"
"24737RGRR1-G2K","1450","7495","79297.63","0.09"
"24737RGRR1-G2K","1460","15101","79297.63","0.19"
"24737RGRR1-G2K","2100","13487","79297.63","0.17"
"24737RGRR1-G2K","4410","15084","79297.63","0.19"
"2543QRTERQ1-G2","695","13824","97389.3","0.14"
"2543QRTERQ1-G2","1420","20651","97389.3","0.21"
"2543QRTERQ1-G2","1460","13821","97389.3","0.14"
"2543QRTERQ1-G2","2100","41331","97389.3","0.42"
"2543QRTERQ1-G2","3000","27612","97389.3","0.28"
"2543QRTERQ1-G2","4410","245898","97389.3","2.52"
"25810RVCR-G2R#","4410","3399","0","0"
"259230DRCR-G2K","1410","18621",NULL,"0"
"2592BADRCR-G2K","4410","81341","56074.82","1.45"
"2592BLDRCR-G2K","1410","13818","56074.82","0.25"
"2592BLDRCR-G2K","1430","13789","56074.82","0.25"
"2592BLDRCR-G2K","4410","95750","56074.82","1.71"
"2592ZADRCR-G2K","695","13820","51641.5","0.27"
"2592ZADRCR-G2K","1420","9173","51641.5","0.18"
"2592ZADRCR-G2K","4410","13814","51641.5","0.27"
"285ARUKR1-G2KY","4410","85448","109078.26","0.78"
"304056RSBR-G2K","1450","3957","13437.57","0.29"
"304056RSBR-G2K","4410","30725","13437.57","2.29"
"3515RVER1-LQN#","695","7864","67710.19","0.12"
"3515RVER1-LQN#","1400","7728","67710.19","0.11"
"3515RVER1-LQN#","1410","7003","67710.19","0.1"
"3515RVER1-LQN#","4410","15434","67710.19","0.23"
"401032DSGR1-G2","695","24840","266738.26","0.09"
"401032DSGR1-G2","1410","22714","266738.26","0.09"
"401032DSGR1-G2","1420","37209","266738.26","0.14"
"401032DSGR1-G2","1430","24675","266738.26","0.09"
"401032DSGR1-G2","4410","289713","266738.25","1.09"
"44C20RVFR-LQN#","3000","3586","16624.76","0.22"
"44C20RVFR-LQN#","4410","10737","16624.76","0.65"
"44C20RVFT1-LN#","4410","7084","16624.76","0.43"
"44C20RVFT2-LN#","4410","17336","16624.76","1.04"
"44C24RVFT-LQN#","4410","1473","20621.08","0.07"
"4519RTER1-RQR&","4410","20128","55027.28","0.37"
"4622RHLR1-LQR#","4410","15108","55732.88","0.27"
"4C24RVFT1-LQN#","4410","9887","20621.08","0.48"
"50842A0RSKR-G2","1410","1707","0","0"
"50842A0RSKR-G2","2100","3356","0","0"
"50842A0RSKR-G2","4410","10045","0","0"
"51211DSCR4-GYK","1400","13821","208380.42","0.07"
"51211DSCR4-GYK","1410","21705","208380.42","0.1"
"51211DSCR4-GYK","1430","69039","208380.42","0.33"
"51211DSCR4-GYK","1450","6909","208380.42","0.03"
"51211DSCR4-GYK","2000","27640","208380.42","0.13"
"51218DSCR3-CYK","2150","7124","169531.12","0.04"
"51218DSCR3-CYK","4410","138172","169531.12","0.82"
"51315RGFR-LS2Y","4410","3288","43424.18","0.08"
"51631ARSMR-G2K","1420","10046","56890.88","0.18"
"51631ARSMR-G2K","4410","8515","56890.88","0.15"
"51631RSMR-G2YK","4410","25521","66896.3","0.38"
"51980ARTVR-G2K","4410","28225","31636.13","0.89"
"53219ARGTR-G2K","1410","17136","85421.31","0.2"
"53219RGTR1-G2K","1400","13818","85421.31","0.16"
"53219RGTR1-G2K","1410","13818","85421.31","0.16"
"53219RGTR1-G2K","1420","27458","85421.31","0.32"
"53219RGTR1-G2K","1450","27630","85421.31","0.32"
"53219RGTR1-G2K","2100","27577","85421.31","0.32"
"53219RGTR1-G2K","3000","7821","85421.31","0.09"
"53219RGTR1-G2K","4410","67086","85421.31","0.79"
"53819ARGTR1-LK","4410","23076","107404.51","0.21"
"54361QDPRRQ1-C","4410","56627","0","0"
"546QRTERQ11-G2","1415","27623","0","0"
"546QRTERQ11-G2","1450","13734","0","0"
"546QRTERQ11-G2","2100","13806","0","0"
"546QRTERQ11-G2","3000","27594","0","0"
"546QRTERQ11-G2","4410","464017","0","0"
"55340QRTERQ1-L","4410","28966","0","0"
"561AQDRCRQ1-G2","695","13822","0","0"
"561AQDRCRQ1-G2","1415","13819","0","0"
"561AQDRCRQ1-G2","1420","13812","0","0"
"561AQDRCRQ1-G2","2100","40045","0","0"
"592ALDRCR1-G2K","1400","13796","56409.34","0.24"
"603V1RUNR-G2N#","695","99090","197858.21","0.5"
"603V1RUNR-G2N#","4410","49108","197858.21","0.25"
"608098RHBR-G2K","1450","7838","37726.01","0.21"
"608098RHBR-G2K","4410","7907","37726.01","0.21"
"61235RWLR-G2N#","2150","30066",NULL,"0"
"61236RWLR-G2N#","2150","30096",NULL,"0"
"62406QDRCRQ1-R","1420","7128","0","0"
"62406QDRCRQ1-R","3020","7165","0","0"
"62406QDRCRQ1-R","4410","14011","0","0"
"62407QDRCRQ1-R","3020","14365","0","0"
"62407QDRCRQ1-R","4410","13495","0","0"
"635KRSNR1-KDG2","4410","9221","74351.85","0.12"
"65633AKRTER-G2","695","13824","82589.16","0.17"
"65633AKRTER-G2","1410","13804","82589.16","0.17"
"65633AKRTER-G2","3000","13810","82589.16","0.17"
"65633AKRTER-G2","4410","133607","82589.16","1.62"
"65633BKRTER-G2","695","13824","78715.65","0.18"
"65633BKRTER-G2","4410","6860","78715.65","0.09"
"771803DPJR-G2K","4410","13637","134254.33","0.1"
"7A3001DRBR1-RK","4410","40809","195245.07","0.21"
"7A8300RGWR-G2K","1400","35586","51203.7","0.69"
"7A8300RGWR-G2K","1410","7918","51203.7","0.15"
"7A8300RGWR-G2K","1420","7915","51203.7","0.15"
"7A8300RGWR-G2K","1450","15820","51203.7","0.31"
"7A8300RGWR-G2K","2100","169220","51203.7","3.3"
"7A8300RGWR-G2K","3000","3951","51203.7","0.08"
"7A8300RGWR-G2K","4410","18666","51203.7","0.36"
"8001DRBR3-G2R&","2150","13644","203416.22","0.07"
"94604DRVT1-G2K","2000","13944",NULL,"0"
"94604DRVT1-G2K","2150","24826",NULL,"0"
"94604DRVT1-G2K","4410","24490",NULL,"0"
"95377Q4M1-LQN#","3000","16","0","0"
"95377Q4M2-LQN#","3000","43","0","0"
"9IRTERQ1-G2QR&","1450","5974",NULL,"0"
"9IRTETQ11-G2R&","1400","6000",NULL,"0"
"A2005D1DRBR-RK","1410","6891","80091.2","0.09"
"A2005D1DRBR-RK","1420","13059","80091.2","0.16"
"A2005D1DRBR-RK","1460","13793","80091.2","0.17"
"A2005D1DRBR-RK","4410","13774","80091.2","0.17"
"A2313IDRGR1-CK","4410","17472","103199.08","0.17"
"A2314AIDRBR-CK","4410","28680","131551.73","0.22"
"A3221AIRGVR-ZK","1400","25998","77608.91","0.33"
"A3221AIRGVR-ZK","1410","10043","77608.91","0.13"
"A3221AIRGVR-ZK","1420","10060","77608.91","0.13"
"A3221AIRGVR-ZK","1430","10007","77608.91","0.13"
"A3221AIRGVR-ZK","2100","10069","77608.91","0.13"
"A3221AIRGVR-ZK","4410","183815","77608.91","2.37"
"A6130A2RTJR-LK","4410","4918","50617.81","0.1"
"A6133A2RTJR-LK","1410","10079","0","0"
"A6133A2RTJR-LK","1460","10077","0","0"
"A6133A2RTJR-LK","4410","10066","0","0"
"A6203A1DRBR-LK","4410","13756","140556.45","0.1"
"A8001DRBR1-G2K","4410","13821","203416.22","0.07"
"A8001DRBR2-G2K","1400","27645",NULL,"0"
"A8001DRBR2-G2K","1420","12666",NULL,"0"
"A8001DRBR2-G2K","1430","40161",NULL,"0"
"A8001DRBR2-G2K","1450","13818",NULL,"0"
"A8001DRBR2-G2K","1460","13823",NULL,"0"
"A8001DRBR2-G2K","2100","20735",NULL,"0"
"A8001DRBR2-G2K","4410","537771",NULL,"0"
"A8001DRBT2-G2K","4410","29065",NULL,"0"
"AC7760IRHAR-CK","4410","2177","30863.65","0.07"
"ADS1220IRVAT-Z","4410","11728","16833.86","0.7"
"AFE031AIRGZR-C","695","4480","51826.08","0.09"
"AFE031AIRGZR-C","1400","6795","51826.08","0.13"
"AFE031AIRGZR-C","1420","8957","51826.08","0.17"
"AFE031AIRGZR-C","1450","2581","51826.08","0.05"
"AFE031AIRGZR-C","4410","36929","51826.08","0.71"
"AFE032IRGZR-C ","3020","4024","35270.19","0.11"
"AFE032IRGZT-C ","3020","2404","35270.19","0.07"
"AFE032IRGZT-C ","4410","17558","35270.19","0.5"
"BQ24130RHLR-G2","4410","11783","48086.81","0.25"
"BQ24133RGYR-G2","4410","23483","49584.85","0.47"
"BQ24171RGYR-G2","4410","6377","49184.62","0.13"
"BQ24190RGER-RY","695","10030","59614.85","0.17"
"BQ24196RGER-RY","695","14403","60916.13","0.24"
"BQ24196RGER-RY","1400","29540","60916.13","0.48"
"BQ24196RGER-RY","1410","146041","60916.13","2.4"
"BQ24196RGER-RY","1450","94879","60916.13","1.56"
"BQ24196RGER-RY","2100","5772","60916.13","0.09"
"BQ24196RGER-RY","3000","29666","60916.13","0.49"
