LOT,DEVICE,PACKAGE,PIN,CUR_QTY,WEIGHT,LOT_NAME,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOOT_TIME,MACHINE_INSTANCE
8051273,PS53319DQPR-LN,6X5           ,DQPCLIP      ,6836,1848.00,8051273,4410,1,        16.94,      14.72,     16.85,,11/26/2015 06:06:11,
8049242,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,10036,1843.00,8049242,4410,1,        15.06,      13.57,     17.53,,11/26/2015 06:06:11,
8049241,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,9992,1843.00,8049241,4410,1,        15.06,      13.57,     17.53,,11/26/2015 06:06:11,
8049244,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,9762,1843.00,8049244,4410,1,        15.06,      13.57,     17.53,,11/26/2015 06:06:11,
8051305,S544C24RVFR-LN,7X5           ,RVFCLIPT     ,3622,1839.00,8051305,4410,1,        14.24,      12.11,     16.85,,11/26/2015 06:06:11,
8051322,S544C24RVFR-LN,7X5           ,RVFCLIPT     ,3530,1839.00,8051322,4410,1,        14.24,      12.11,     16.85,,11/26/2015 06:06:11,
8062588,S544C24RVFR-LN,7X5           ,RVFCLIPT     ,3169,1839.00,8062588,4410,1,        14.24,      12.11,     16.85,,11/26/2015 06:06:11,
8051306,S544C24RVFR-LN,7X5           ,RVFCLIPT     ,3640,1839.00,8051306,4410,1,        14.24,      12.11,     16.85,,11/26/2015 06:06:11,
8051313,S544C24RVFR-LN,7X5           ,RVFCLIPT     ,3667,1839.00,8051313,4410,1,        14.24,      12.11,     16.85,,11/26/2015 06:06:11,
8051320,S544C24RVFR-LN,7X5           ,RVFCLIPT     ,3498,1839.00,8051320,4410,1,        14.24,      12.11,     16.85,,11/26/2015 06:06:11,
8051314,S544C24RVFR-LN,7X5           ,RVFCLIPT     ,2776,1839.00,8051314,4410,1,        14.24,      12.11,     16.85,,11/26/2015 06:06:11,
8051315,S544C24RVFR-LN,7X5           ,RVFCLIPT     ,3603,1839.00,8051315,4410,1,        14.24,      12.11,     16.85,,11/26/2015 06:06:11,
8051321,S544C24RVFR-LN,7X5           ,RVFCLIPT     ,3532,1839.00,8051321,4410,1,        14.24,      12.11,     16.85,,11/26/2015 06:06:11,
8051309,S544C24RVFR-LN,7X5           ,RVFCLIPT     ,3484,1839.00,8051309,4410,1,        14.24,      12.11,     16.85,,11/26/2015 06:06:11,
8051316,S544C24RVFR-LN,7X5           ,RVFCLIPT     ,3532,1839.00,8051316,4410,1,        14.24,      12.11,     16.85,,11/26/2015 06:06:11,
8051312,S544C24RVFR-LN,7X5           ,RVFCLIPT     ,3583,1839.00,8051312,4410,1,        14.24,      12.11,     16.85,,11/26/2015 06:06:11,
8051317,S544C24RVFR-LN,7X5           ,RVFCLIPT     ,3641,1839.00,8051317,4410,1,        14.24,      12.11,     16.85,,11/26/2015 06:06:11,
8051319,S544C24RVFR-LN,7X5           ,RVFCLIPT     ,3600,1839.00,8051319,4410,1,        14.24,      12.11,     16.85,,11/26/2015 06:06:11,
8051308,S544C24RVFR-LN,7X5           ,RVFCLIPT     ,3561,1839.00,8051308,4410,1,        14.24,      12.11,     16.85,,11/26/2015 06:06:11,
8051318,S544C24RVFR-LN,7X5           ,RVFCLIPT     ,3658,1839.00,8051318,4410,1,        14.24,      12.11,     16.85,,11/26/2015 06:06:11,
8051652,401032DSGR1-G2,2X2           ,DSGST        ,24459,1813.00,8051652,4410,1,        14.69,      12.78,      16.8,,11/26/2015 06:06:11,
8051649,401032DSGR1-G2,2X2           ,DSGST        ,24759,1813.00,8051649,4410,1,        14.69,      12.78,      16.8,,11/26/2015 06:06:11,
8051654,401032DSGR1-G2,2X2           ,DSGST        ,24758,1813.00,8051654,4410,1,        14.69,      12.78,      16.8,,11/26/2015 06:06:11,
8050235,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,9740,1811.00,8050235,4410,1,        15.06,      13.57,      17.2,,11/26/2015 06:06:11,
8050237,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,9978,1811.00,8050237,4410,1,        15.06,      13.57,      17.2,,11/26/2015 06:06:11,
8050238,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,9510,1811.00,8050238,4410,1,        15.06,      13.57,      17.2,,11/26/2015 06:06:11,
8050230,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,9750,1811.00,8050230,4410,1,        15.06,      13.57,      17.2,,11/26/2015 06:06:11,
8050232,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,9991,1811.00,8050232,4410,1,        15.06,      13.57,      17.2,,11/26/2015 06:06:11,
8050234,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,9867,1811.00,8050234,4410,1,        15.06,      13.57,      17.2,,11/26/2015 06:06:11,
8050233,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,9953,1811.00,8050233,4410,1,        15.06,      13.57,      17.2,,11/26/2015 06:06:11,
8050231,635KRSNR1-KDG2,4X4           ,RSN300VTT    ,10028,1811.00,8050231,4410,1,        15.06,      13.57,      17.2,,11/26/2015 06:06:11,
8055949,3315RGFR-G2S2Y,7X5           ,RGFMCM300    ,3051,1805.00,8055949,4410,1,        22.77,      19.66,     15.52,11/25/2015 03:52:30,11/26/2015 06:06:11,CLFTEA34
8049306,PS54821RHLR2-R,3.5X3.5       ,RHL          ,15107,1791.00,8049306,4410,1,        13.26,      12.29,     17.52,,11/26/2015 06:06:11,
8049310,PS54821RHLR2-R,3.5X3.5       ,RHL          ,7542,1791.00,8049310,4410,1,        13.26,      12.29,     17.52,,11/26/2015 06:06:11,
8051801,S65283RGER-G2Y,4X4           ,RGE300LLF    ,8977,1782.00,8051801,4410,1,        12.88,      11.27,      16.8,,11/26/2015 06:06:11,
8049801,259270DRCR-G2K,3X3           ,DRC          ,13813,1773.00,8049801,4410,1,        13.21,      12.23,     17.34,,11/26/2015 06:06:11,
8051687,561AQDRCRQ1-G2,3X3           ,DRC          ,10061,1749.00,8051687,4410,1,        13.86,      12.59,      16.8,11/25/2015 03:21:59,11/26/2015 06:06:11,CLFTEA4
8051688,561AQDRCRQ1-G2,3X3           ,DRC          ,6850,1749.00,8051688,4410,1,        13.86,      12.59,      16.8,,11/26/2015 06:06:11,
8051425,S62736RGYR-G2K,3.5X3.5       ,RGY300       ,7551,1723.00,8051425,4410,1,        13.21,      12.23,     16.84,,11/26/2015 06:06:11,
8051424,S62736RGYR-G2K,3.5X3.5       ,RGY300       ,12375,1723.00,8051424,4410,1,        13.21,      12.23,     16.84,,11/26/2015 06:06:11,
8051430,2592AADRCR-G2K,3X3           ,DRC          ,6898,1723.00,8051430,4410,1,        13.21,      12.23,     16.84,,11/26/2015 06:06:11,
