"pkgtype","tester_req","EDGE_LB","pkg_size","Pin","Package","expected_output_2_days","expected_avg_output_per_day","cap_per_day","wip_post_WB","wip_ft1","wip_ft2","POST_WB_QUEUE","TEST_QUEUE_FT1","TEST_QUEUE_FT2","Total_Queue_1_tester"
NULL,"ETS-2-64","6498316A",NULL,NULL,NULL,"20068","10034","30679.08","87482","59654","0","2.85","1.94","0","4.795971717535206"
NULL,"ETS-2-128","6522212C",NULL,NULL,NULL,"118213","59106.5","100466.07","21577","27599","0","0.21","0.27","0","0.48947868668496736"
NULL,"ETS-2-64","6522212C",NULL,NULL,NULL,"192984","96492","101077.27","203076","275790","0","2.01","2.73","0","4.737623008615092"
NULL,"ETS-0-64","6522803A",NULL,NULL,NULL,"108144","54072","55027.28","40956","108144","0","0.74","1.97","0","2.709565146596379"
NULL,"ETS-2-64","6541669B",NULL,NULL,NULL,"79767","39883.5","50890.77","0","47717","0","0","0.94","0","0.9376356459137876"
NULL,"ETS-2-64","6524040A",NULL,NULL,NULL,"183849","91924.5","6086.83","142174","503697","0","23.36","82.75","0","106.10958413492737"
NULL,"ETS-2-64","6544455A",NULL,NULL,NULL,"67364","33682","93324.66","0","67364","0","0","0.72","0","0.7218242209508183"
NULL,"ETS-2-128","6569306A",NULL,NULL,NULL,"122889","61444.5","78643.35","407918","389185","0","5.19","4.95","0","10.135669449483013"
NULL,"ETS-2-64","6569306A",NULL,NULL,NULL,"618253","309126.5","81459.02","0","235039","0","0","2.89","0","2.885364935644941"
NULL,"ETS-2M-64","6569306A",NULL,NULL,NULL,"151690","75845","78715.65","407918","389185","0","5.18","4.94","0","10.126359878880503"
NULL,"ETS-2-64","6546196A",NULL,NULL,NULL,"13765","6882.5","0","7721","13765","0","0","0","0","0"
NULL,"ETS-2-64","6522803A",NULL,NULL,NULL,"20128","10064","55027.28","0","20128","0","0","0.37","0","0.3657822083882758"
NULL,"ETS-1-64","6461377C",NULL,NULL,NULL,"20073","10036.5","84242.8","15111","20073","0","0.18","0.24","0","0.41764993566215747"
NULL,"ETS-S-64","6508600B",NULL,NULL,NULL,"60440","30220","66753.62","30233","30207","0","0.45","0.45","0","0.9054190619175411"
NULL,"ETS-2-64","6541602C",NULL,NULL,NULL,"70561","35280.5","79938.78","109851","45955","0","1.37","0.57","0","1.9490665231568458"
NULL,"ETS-2-64","6570729C",NULL,NULL,NULL,"13260","6630","2726.33","25895","64775","0","9.5","23.76","0","33.25716255919129"
NULL,"ETS-2-64","6487839B",NULL,NULL,NULL,"62793","31396.5","31636.13","40900","195284","0","1.29","6.17","0","7.465641341086915"
NULL,"ETM-5-128","6579768C",NULL,NULL,NULL,"513065","256532.5","70604.84","0","56881","0","0","0.81","0","0.8056246568932102"
NULL,"ETS-2-64","6528944B",NULL,NULL,NULL,"195979","97989.5","195234.44","49994","74497","0","0.26","0.38","0","0.6376487672974092"
NULL,"ETS-2-64","6571495A",NULL,NULL,NULL,"190643","95321.5","57311.11","65431","64223","0","1.14","1.12","0","2.2622838748019363"
NULL,"ETS-0-64","6507169A",NULL,NULL,NULL,"6292","3146","52646.91","0","6292","0","0","0.12","0","0.11951318700375767"
NULL,"ETS-2-64","6568858D",NULL,NULL,NULL,"58384","29192","29751.92","7554","23899","0","0.25","0.8","0","1.0571754696839735"
NULL,"ETM-4-64","6590151A",NULL,NULL,NULL,"48727","24363.5","0","0","7660","0","0","0","0","0"
NULL,"ETS-2-64","6543758C",NULL,NULL,NULL,"214134","107067","70103.8","103249","54817","0","1.47","0.78","0","2.2547422536296176"
NULL,"ETS-2-64","6545456B",NULL,NULL,NULL,"260485","130242.5","86700.84","0","14850","0","0","0.17","0","0.1712786173697971"
NULL,"ETS-2-64","6528917C",NULL,NULL,NULL,"1459","729.5","20621.08","1459","0","0","0.07","0","0","0.0707528412672857"
