ID,PKG Name,PKG_penalty
1,3X3,111229
150,N0608010RGER-B,4X4,0
151,PS61093DSKR-CK,2.5X2.5,0
152,S53302RGTR-G2Y,3X3,0
153,53819ARGTR1-LK,3X3,0
154,Q24617RGER-G2K,4X4,0
155,PS51623RSMR-G2,4X4,0
156,24780SRUYR-G2K,4X4,0
157,TPS2541RTER-G2,3X3,0
158,BQ24261RGER1-8,4X4,0
159,S542941RSAR-G2,4X4,0
160,212006RGRR-G2$,3.5X3.5,0
161,V62090RGTR1-G2,3X3,0
162,PS54426RSAR1-L,4X4,0
163,LV62150RGTT-LY,3X3,0
164,BQ25890RTWR-G2,4X4,0
165,259250DRCR-G2K,3X3,0
166,259231DRCR-G2K,3X3,0
167,259240DRCR-G2K,3X3,0
168,259230DRCR-G2K,3X3,0
169,259250DRCT-G2K,3X3,0
170,259261DRCR-G2K,3X3,0
171,259251DRCR-G2K,3X3,0
172,259260DRCR-G2K,3X3,0
173,259251DRCT-G2K,3X3,0
174,259261DRCT-G2K,3X3,0
175,PS65261RHBR-G2,5X5,0
176,Q24610RGER-G2K,4X4,0
177,S51463RGER2-G2,4X4,0
178,94707DSGR1-G2K,2X2,0
179,1622RSMR1-G2YK,4X4,0
180,51980ARTVR-G2K,5X5,0
181,51622ARSMR-G2K,4X4,0
182,S51624RSMR-G2K,4X4,0
183,PS24720RGTR-CK,3X3,0
184,S51367RVERP-LN,4.5X3.5,0
185,TPS54622RHLR-L,3.5X3.5,0
186,TPS54541DPRR-C,4X4,0
187,PS65053RGER1-R,4X4,0
188,PS62420DRCR-RY,3X3,0
189,TPS54341DPRR-C,4X4,0
190,S652611RHBR-G2,5X5,0
191,TPS53317RGBR-L,4.0X3.5,0
192,Q24735RGRR1-LK,3.5X3.5,0
193,PS40428RHAR-G2,6X6,0
194,BQ24777RUYR-G2,4X4,0
195,1220ARSNR1-G2K,4X4,0
196,PS62410DRCR-RY,3X3,0
197,S61020DRCR1-RY,3X3,0
198,N1006030RTER-C,3X3,0
199,S53511RGTR-G2Y,3X3,0
200,Q24715RGRR-G2K,3.5X3.5,0
201,CC24610DRBR-GK,3X3,0
202,Q24074RGTR-G2Y,3X3,0
203,V62130ARGTR-LY,3X3,0
204,Q24780RUYR-G2K,4X4,0
