Machine_Instance,Machine_Family_Name,Lot_Name,Quantity,Lot_Weight,Device_Name,Tooling_Family_Name,Certification
CLFTEA25,ETS-2-64,5970654,10053,1238,SN2850RUYR-G2K,6571495A,1
CLFTEA25,ETS-2-64,5970657,9981,1238,SN2850RUYR-G2K,6571495A,1
CLFTEA25,ETS-2-64,5970656,10071,1238,SN2850RUYR-G2K,6571495A,1
CLFTEA25,ETS-2-64,5970646,10043,1238,SN2850RUYR-G2K,6571495A,1
CLFTEA26,ETS-2-64,5969321,4234,1324,D97374Q4M-LNKE,6578688B,1
CLFTEA26,ETS-2-64,5976287,7729,1125,D97374Q4M-LNKE,6578688B,1
CLFTEA26,ETS-2-64,5976291,7728,1125,D97374Q4M-LNKE,6578688B,1
CLFTEA26,ETS-2-64,5993121,7791,1125,D97374Q4M-LNKE,6578688B,1
CLFTEA26,ETS-2-64,5976267,3861,1125,D97374Q4M-LNKE,6578688B,1
CLFTEA26,ETS-2-64,5993120,5998,1125,D97374Q4M-LNKE,6578688B,1
CLFTEA26,ETS-2-64,5976270,7771,1125,D97374Q4M-LNKE,6578688B,1
CLFTEA26,ETS-2-64,5976278,7789,1125,D97374Q4M-LNKE,6578688B,1
CLFTEA26,ETS-2-64,5976290,7839,1125,D97374Q4M-LNKE,6578688B,1
CLFTEA26,ETS-2-64,5976277,7703,1125,D97374Q4M-LNKE,6578688B,1
CLFTEA26,ETS-2-64,5976283,7684,1125,D97374Q4M-LNKE,6578688B,1
CLFTEA26,ETS-2-64,5976281,7666,1125,D97374Q4M-LNKE,6578688B,1
CLFTEA26,ETS-2-64,5976284,7802,1125,D97374Q4M-LNKE,6578688B,1
CLFTEA26,ETS-2-64,5976286,7709,1125,D97374Q4M-LNKE,6578688B,1
CLFTEA26,ETS-2-64,5976288,7780,1125,D97374Q4M-LNKE,6578688B,1
CLFTEA26,ETS-2-64,5976285,7733,1125,D97374Q4M-LNKE,6578688B,1
CLFTEA26,ETS-2-64,5976289,7735,1125,D97374Q4M-LNKE,6578688B,1
CLFTEA26,ETS-2-64,5979659,7668,1024,D97374Q4M-LNKE,6578688B,1
CLFTEA26,ETS-2-64,5979653,7773,1024,D97374Q4M-LNKE,6578688B,1
CLFTEA26,ETS-2-64,5979641,7819,1024,D97374Q4M-LNKE,6578688B,1
CLFTEA26,ETS-2-64,5979656,7754,1024,D97374Q4M-LNKE,6578688B,1
CLFTEA26,ETS-2-64,5979638,7108,1024,D97374Q4M-LNKE,6578688B,1
CLFTEA26,ETS-2-64,5979663,7752,1024,D97374Q4M-LNKE,6578688B,1
CLFTEA26,ETS-2-64,5979661,7831,1024,D97374Q4M-LNKE,6578688B,1
CLFTEA26,ETS-2-64,5979643,7795,1024,D97374Q4M-LNKE,6578688B,1
CLFTEA26,ETS-2-64,5979652,7704,1024,D97374Q4M-LNKE,6578688B,1
CLFTEA26,ETS-2-64,5979658,7835,1024,D97374Q4M-LNKE,6578688B,1
CLFTEA26,ETS-2-64,5979662,7853,1024,D97374Q4M-LNKE,6578688B,1
CLFTEA26,ETS-2-64,5979654,7719,1024,D97374Q4M-LNKE,6578688B,1
CLFTEA26,ETS-2-64,5983557,7777,912,D97374Q4M-LNKE,6578688B,1
CLFTEA26,ETS-2-64,5986656,7761,817,D97374Q4M-LNKE,6578688B,1
CLFTEA27,ETS-2-64,5971839,5125,1202,N0706026RHHR-B,6479550B,1
CLFTEA27,ETS-2-64,5971828,5180,1202,N0706026RHHR-B,6479550B,1
CLFTEA27,ETS-2-64,5971827,5155,1202,N0706026RHHR-B,6479550B,1
CLFTEA27,ETS-2-64,5971837,5085,1202,N0706026RHHR-B,6479550B,1
CLFTEA27,ETS-2-64,5971838,5165,1202,N0706026RHHR-B,6479550B,1
CLFTEA27,ETS-2-64,5971829,4144,1202,N0706026RHHR-B,6479550B,1
CLFTEA27,ETS-2-64,5971841,5178,1202,N0706026RHHR-B,6479550B,1
CLFTEA27,ETS-2-64,5971842,3800,1202,N0706026RHHR-B,6479550B,1
CLFTEA27,ETS-2-64,5971831,5147,1202,N0706026RHHR-B,6479550B,1
CLFTEA27,ETS-2-64,5971826,5150,1202,N0706026RHHR-B,6479550B,1
CLFTEA27,ETS-2-64,5971825,5134,1202,N0706026RHHR-B,6479550B,1
CLFTEA27,ETS-2-64,5971834,5156,1202,N0706026RHHR-B,6479550B,1
CLFTEA27,ETS-2-64,5971835,5142,1202,N0706026RHHR-B,6479550B,1
CLFTEA27,ETS-2-64,5971832,5179,1202,N0706026RHHR-B,6479550B,1
CLFTEA27,ETS-2-64,5971836,5140,1202,N0706026RHHR-B,6479550B,1
CLFTEA27,ETS-2-64,5971833,5182,1202,N0706026RHHR-B,6479550B,1
CLFTEA27,ETS-2-64,5975043,5180,1102,N0706026RHHR-B,6479550B,1
CLFTEA27,ETS-2-64,5975037,3162,1102,N0706026RHHR-B,6479550B,1
CLFTEA29,ETS-2-64,5972978,10044,1170,N0608010RGER-B,6484809C,1
CLFTEA29,ETS-2-64,5972988,5033,1170,N0608010RGER-B,6484809C,1
CLFTEA29,ETS-2-64,5972986,10034,1170,N0608010RGER-B,6484809C,1
CLFTEA29,ETS-2-64,5972983,9961,1170,N0608010RGER-B,6484809C,1
CLFTEA29,ETS-2-64,5972980,10066,1170,N0608010RGER-B,6484809C,1
CLFTEA29,ETS-2-64,5972985,10031,1170,N0608010RGER-B,6484809C,1
CLFTEA29,ETS-2-64,5972979,9981,1170,N0608010RGER-B,6484809C,1
CLFTEA29,ETS-2-64,5972987,8932,1170,N0608010RGER-B,6484809C,1
CLFTEA29,ETS-2-64,5972982,10040,1170,N0608010RGER-B,6484809C,1
CLFTEA29,ETS-2-64,5972984,10059,1170,N0608010RGER-B,6484809C,1
CLFTEA29,ETS-2-64,5972981,10059,1170,N0608010RGER-B,6484809C,1
CLFTEA3,ETS-0-64,5963987,6895,1439,PS54678RTER-G2,6529253A,1
CLFTEA3,ETS-0-64,5967266,13800,1342,PS54678RTER-G2,6529253A,1
CLFTEA3,ETS-0-64,5967268,10278,1342,PS54678RTER-G2,6529253A,1
CLFTEA3,ETS-0-64,5967269,6893,1342,PS54678RTER-G2,6529253A,1
CLFTEA3,ETS-0-64,5967263,13770,1342,PS54678RTER-G2,6529253A,1
CLFTEA3,ETS-0-64,5967267,13809,1342,PS54678RTER-G2,6529253A,1
CLFTEA3,ETS-0-64,5970747,13732,1237,PS54678RTER-G2,6529253A,1
CLFTEA3,ETS-0-64,5970759,13778,1237,PS54678RTER-G2,6529253A,1
CLFTEA3,ETS-0-64,5970757,13805,1237,PS54678RTER-G2,6529253A,1
CLFTEA3,ETS-0-64,5970758,13804,1237,PS54678RTER-G2,6529253A,1
CLFTEA3,ETS-0-64,5970761,13789,1237,PS54678RTER-G2,6529253A,1
CLFTEA3,ETS-0-64,5970763,13810,1237,PS54678RTER-G2,6529253A,1
CLFTEA30,ETS-2-64,5729950,14162,8836,G62130ARGTRS-L,6513992B,1
CLFTEA30,ETS-2-64,5734270,11305,8701,G62130ARGTRS-L,6513992B,1
CLFTEA30,ETS-2-64,5753070,14591,8084,G62130ARGTRS-L,6513992B,1
CLFTEA31,ETS-2-64,5944195,6863,2016,PS51518RUKR-LK,6526517A,1
CLFTEA31,ETS-2-64,5944194,10606,2016,PS51518RUKR-LK,6526517A,1
CLFTEA31,ETS-2-64,5952248,13767,1776,PS51518RUKR-LK,6526517A,1
CLFTEA31,ETS-2-64,5952246,13810,1776,PS51518RUKR-LK,6526517A,1
CLFTEA31,ETS-2-64,5952247,13812,1776,PS51518RUKR-LK,6526517A,1
CLFTEA31,ETS-2-64,5952249,13807,1776,PS51518RUKR-LK,6526517A,1
CLFTEA31,ETS-2-64,5952245,13810,1776,PS51518RUKR-LK,6526517A,1
CLFTEA31,ETS-2-64,5952250,10873,1776,PS51518RUKR-LK,6526517A,1
CLFTEA31,ETS-2-64,5952251,6895,1776,PS51518RUKR-LK,6526517A,1
CLFTEA32,ETS-2-128,5917909,7789,2825,97376Q4M2-LQN&,6544140B,1
CLFTEA32,ETS-2-128,5917907,7052,2825,97376Q4M2-LQN&,6544140B,1
CLFTEA32,ETS-2-128,5917908,7722,2825,97376Q4M2-LQN&,6544140B,1
CLFTEA32,ETS-2-128,5917918,7006,2825,D95375Q4M-LQN&,6544140B,1
CLFTEA32,ETS-2-128,5917917,7734,2825,D95375Q4M-LQN&,6544140B,1
CLFTEA32,ETS-2-128,5917919,7264,2825,D95375Q4M-LQN&,6544140B,1
CLFTEA32,ETS-2-128,5947532,7524,1970,D97395Q4M-LNKE,6544140B,1
CLFTEA32,ETS-2-128,5963541,3744,1970,D97395Q4M-LNKE,6544140B,1
CLFTEA32,ETS-2-128,5950432,7801,1869,D97395Q4M-LNKE,6544140B,1
CLFTEA32,ETS-2-128,5950427,7572,1869,D97395Q4M-LNKE,6544140B,1
CLFTEA32,ETS-2-128,5967692,4574,1869,D97395Q4M-LNKE,6544140B,1
CLFTEA32,ETS-2-128,5950423,7822,1869,D97395Q4M-LNKE,6544140B,1
CLFTEA32,ETS-2-128,5950430,7615,1869,D97395Q4M-LNKE,6544140B,1
CLFTEA32,ETS-2-128,5950428,7820,1869,D97395Q4M-LNKE,6544140B,1
CLFTEA32,ETS-2-128,5950422,7804,1869,D97395Q4M-LNKE,6544140B,1
CLFTEA32,ETS-2-128,5950421,6454,1869,D97395Q4M-LNKE,6544140B,1
CLFTEA32,ETS-2-128,5950426,7804,1869,D97395Q4M-LNKE,6544140B,1
CLFTEA32,ETS-2-128,5950425,7747,1869,D97395Q4M-LNKE,6544140B,1
CLFTEA32,ETS-2-128,5950431,7861,1869,D97395Q4M-LNKE,6544140B,1
CLFTEA32,ETS-2-128,5950424,7692,1869,D97395Q4M-LNKE,6544140B,1
CLFTEA33,ETS-2-64,5970099,16714,1249,PS53312RGTR-LY,6516394A,1
CLFTEA33,ETS-2-64,5970103,12397,1249,PS53312RGTR-LY,6516394A,1
CLFTEA33,ETS-2-64,5954584,12595,1727,PS54326RGTR-LY,6516394A,1
CLFTEA33,ETS-2-64,5971902,16821,1205,PS54326RGTR-LY,6516394A,1
CLFTEA33,ETS-2-64,5971901,15987,1205,PS54326RGTR-LY,6516394A,1
CLFTEA33,ETS-2-64,5971903,16622,1205,PS54326RGTR-LY,6516394A,1
CLFTEA33,ETS-2-64,5971904,12571,1205,PS54326RGTR-LY,6516394A,1
CLFTEA33,ETS-2-64,5974041,13559,1159,S53302RGTR-G2Y,6516394A,1
CLFTEA33,ETS-2-64,5956903,15193,1689,S53312RGTR-G2Y,6516394A,1
CLFTEA33,ETS-2-64,5956901,16827,1689,S53312RGTR-G2Y,6516394A,1
CLFTEA33,ETS-2-64,5963992,15149,1452,S53312RGTR-G2Y,6516394A,1
CLFTEA33,ETS-2-64,5963990,16544,1452,S53312RGTR-G2Y,6516394A,1
CLFTEA33,ETS-2-64,5972425,6908,1452,S53312RGTR-G2Y,6516394A,1
CLFTEA33,ETS-2-64,5963991,6733,1452,S53312RGTR-G2Y,6516394A,1
CLFTEA33,ETS-2-64,5963993,9743,1452,S53312RGTR-G2Y,6516394A,1
CLFTEA33,ETS-2-64,5983465,8388,878,S53511RGTR-G2Y,6516394A,1
CLFTEA34,ETS-2-64,5967296,2186,1342,7A8300RGWR-G2K,6555551A,1
CLFTEA34,ETS-2-64,5974083,7883,1146,7A8300RGWR-G2K,6555551A,1
CLFTEA34,ETS-2-64,5974088,7910,1146,7A8300RGWR-G2K,6555551A,1
CLFTEA34,ETS-2-64,5974082,7896,1146,7A8300RGWR-G2K,6555551A,1
CLFTEA34,ETS-2-64,5974080,7913,1146,7A8300RGWR-G2K,6555551A,1
CLFTEA34,ETS-2-64,5974078,7901,1146,7A8300RGWR-G2K,6555551A,1
