Machine_Instance_ID,Machine_Family_ID,Machine_Instance_Name,Lot_ID,Lot_Name,Quantity,Lot_Weight,Device ID,Device_Name,Route_ID,Tooling_Family_ID,Tooling_Family_Name,Certification,Value
11,2,CLFTEA19,1488,5984772,13765,830,34,53219ARGTR-G2K,236,172,6518552B,1,1
12,3,CLFTEA2,425,5964975,13817,1402,118,TPS73701DRBR-B,1403,58,6489159B,1,1
12,3,CLFTEA2,427,5964976,13796,1402,118,TPS73701DRBR-B,1403,58,6489159B,1,1
12,3,CLFTEA2,428,5964978,13815,1402,118,TPS73701DRBR-B,1403,58,6489159B,1,1
12,3,CLFTEA2,429,5964979,13610,1402,118,TPS73701DRBR-B,1403,58,6489159B,1,1
12,3,CLFTEA2,430,5964977,13764,1402,118,TPS73701DRBR-B,1403,58,6489159B,1,1
12,3,CLFTEA2,431,5964974,13819,1402,118,TPS73701DRBR-B,1403,58,6489159B,1,1
12,3,CLFTEA2,1370,5983454,13441,869,118,TPS73701DRBR-B,1403,58,6489159B,1,1
12,3,CLFTEA2,1371,5983451,13762,869,118,TPS73701DRBR-B,1403,58,6489159B,1,1
12,3,CLFTEA2,1372,5983452,13802,869,118,TPS73701DRBR-B,1403,58,6489159B,1,1
12,3,CLFTEA2,1373,5983450,13772,869,118,TPS73701DRBR-B,1403,58,6489159B,1,1
12,3,CLFTEA2,1374,5983455,13814,869,118,TPS73701DRBR-B,1403,58,6489159B,1,1
12,3,CLFTEA2,1375,5983456,13440,869,118,TPS73701DRBR-B,1403,58,6489159B,1,1
12,3,CLFTEA2,1376,5983457,6906,869,118,TPS73701DRBR-B,1403,58,6489159B,1,1
12,3,CLFTEA2,1377,5983453,13784,869,118,TPS73701DRBR-B,1403,58,6489159B,1,1
12,3,CLFTEA2,1516,5985647,9177,808,118,TPS73701DRBR-B,1403,58,6489159B,1,1
15,7,CLFTEA22,97,5930223,4985,2420,41,A2012D2RTJR-RK,355,4,6461377C,1,1
15,7,CLFTEA22,98,5930222,5350,2420,41,A2012D2RTJR-RK,355,4,6461377C,1,1
15,7,CLFTEA22,450,5966465,10072,1366,41,A2012D2RTJR-RK,355,4,6461377C,1,1
15,7,CLFTEA22,451,5966467,10050,1366,41,A2012D2RTJR-RK,355,4,6461377C,1,1
15,7,CLFTEA22,452,5966468,5594,1366,41,A2012D2RTJR-RK,355,4,6461377C,1,1
16,2,CLFTEA23,652,5970710,13752,1238,140,A8001DRBR2-G2K,403,133,6512302B,1,1
16,2,CLFTEA23,806,5973995,13813,1146,140,A8001DRBR2-G2K,403,133,6512302B,1,1
16,2,CLFTEA23,849,5973998,12481,1146,140,A8001DRBR2-G2K,403,133,6512302B,1,1
16,2,CLFTEA23,852,5973999,13802,1146,140,A8001DRBR2-G2K,403,133,6512302B,1,1
16,2,CLFTEA23,1285,5981557,13807,921,140,A8001DRBR2-G2K,403,133,6512302B,1,1
16,2,CLFTEA23,1294,5981554,13770,921,140,A8001DRBR2-G2K,403,133,6512302B,1,1
16,2,CLFTEA23,1295,5981555,13801,921,140,A8001DRBR2-G2K,403,133,6512302B,1,1
16,2,CLFTEA23,1296,5981559,13613,921,140,A8001DRBR2-G2K,403,133,6512302B,1,1
16,2,CLFTEA23,1469,5984784,12648,830,140,A8001DRBR2-G2K,403,133,6512302B,1,1
16,2,CLFTEA23,1483,5984781,13810,830,140,A8001DRBR2-G2K,403,133,6512302B,1,1
16,2,CLFTEA23,1486,5984777,13803,830,140,A8001DRBR2-G2K,403,133,6512302B,1,1
16,2,CLFTEA23,730,5972954,9748,1178,147,S7A8101DRBR-G2,1258,133,6512302B,1,1
17,2,CLFTEA24,1019,5977501,6902,1040,168,259230DRCR-G2K,103,311,6547181A,1,1
17,2,CLFTEA24,1026,5977504,6903,1040,166,259231DRCR-G2K,107,311,6547181A,1,1
17,2,CLFTEA24,1018,5977508,6877,1040,167,259240DRCR-G2K,111,311,6547181A,1,1
17,2,CLFTEA24,1036,5977507,11764,1040,167,259240DRCR-G2K,111,311,6547181A,1,1
17,2,CLFTEA24,1024,5977538,11774,1040,171,259251DRCR-G2K,123,311,6547181A,1,1
17,2,CLFTEA24,1025,5977545,6887,1040,172,259260DRCR-G2K,131,311,6547181A,1,1
17,2,CLFTEA24,1023,5977548,6902,1040,170,259261DRCR-G2K,135,311,6547181A,1,1
17,2,CLFTEA24,304,5960381,13452,1540,100,2592BLDRCR-G2K,143,311,6547181A,1,1
17,2,CLFTEA24,12,5988755,77,6289,8,2592ZADRCR-G2K,147,311,6547181A,1,1
