LOT,DEVICE,PACKAGE,PIN,CUR_QTY,WEIGHT,LOT_NAME,LPT,OPN,TOTAL_PLAN_CT,CUM_PLAN_CT,LOT_AGE,START_TIME,SNAPSHOT_TIME,MACHINE_INSTANCE,,
5583496,24735RGRR1-G2K,RGR300       ,20,15092,8.53,5583496,4410,1,14.76,13.82,8.14,6/29/2015 12:44,6/29/2015 2:06,CLFTEA39,,
5583500,24735RGRR1-G2K,RGR300       ,20,15105,8.53,5583500,4410,1,14.76,13.82,8.14,                   ,6/29/2015 2:06,,,
5583495,24735RGRR1-G2K,RGR300       ,20,15094,8.53,5583495,4410,1,14.76,13.82,8.14,6/29/2015 12:41,6/29/2015 2:06,CLFTEA60,,
5545166,24735RGRR1-G2K,RGR300       ,20,14932,19.63,5545166,4410,1,14.91,13.82,19.09,                   ,6/29/2015 2:06,,,
5583501,24735RGRR1-G2K,RGR300       ,20,10231,8.53,5583501,4410,1,14.76,13.82,8.14,6/29/2015 12:58,6/29/2015 2:06,CLFTEA58,,
5583494,24735RGRR1-G2K,RGR300       ,20,7545,8.53,5583494,4410,1,14.76,13.82,8.14,                   ,6/29/2015 2:06,,,
5541100,24735RGRR1-G2K,RGR300       ,20,14740,20.7,5541100,4410,1,14.91,13.82,20.16,6/29/2015 12:21,6/29/2015 2:06,CLFTEA70,,
5579459,24737RGRR1-G2K,RGR300       ,20,1330,29.49,5579459,4410,1,15,13.79,28.82,                   ,6/29/2015 2:06,,,
5582213,24780SRUYR-G2K,RUY300       ,28,10049,9.45,5582213,4410,1,14.79,13.35,8.55,                   ,6/29/2015 2:06,,,
5582205,24780SRUYR-G2K,RUY300       ,28,10002,9.45,5582205,4410,1,14.79,13.35,8.55,                   ,6/29/2015 2:06,,,
5582211,24780SRUYR-G2K,RUY300       ,28,10052,9.45,5582211,4410,1,14.79,13.35,8.55,                   ,6/29/2015 2:06,,,
