Lot Name,Device,Key Device,Key Package,Key Pin Package,Num of Device,Estimated Time Required
5979475,PS65023RSBR1-R,N,N,N,7906,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5979477,PS65023RSBR1-R,N,N,N,7845,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5979476,PS65023RSBR1-R,N,N,N,7878,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5973075,212006RGRR-G2$,N,N,N,20998,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5973074,212006RGRR-G2$,N,N,N,14998,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5973077,212006RGRR-G2$,N,N,N,20998,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5973078,212006RGRR-G2$,N,N,N,9000,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5973076,212006RGRR-G2$,N,N,N,8999,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5982381,PS62410DRCR-RY,N,N,N,11667,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5982382,PS62420DRCR-RY,N,N,N,16918,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5983811,PS65023RSBR1-R,N,N,N,7911,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5983809,PS65023RSBR1-R,N,N,N,7906,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5976176,212006RGRR-G2$,N,N,N,12000,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5976175,212006RGRR-G2$,N,N,N,14993,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5976177,212006RGRR-G2$,N,N,N,8999,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5988057,S65177RHAR1-G2,N,N,N,5116,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5988058,S65177RHAR1-G2,N,N,N,5171,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5983063,212006RGRR-G2$,N,N,N,2980,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5983064,212006RGRR-G2$,N,N,N,2998,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5983060,212006RGRR-G2$,N,N,N,15000,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5983058,212006RGRR-G2$,N,N,N,2995,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5985803,TPS65198RUYR-G,N,N,N,10065,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5985806,TPS65198RUYR-G,N,N,N,10070,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5985805,TPS65198RUYR-G,N,N,N,10075,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5987420,1108026RHDR1-R,N,N,N,6999,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5987989,V62090RGTR1-G2,N,N,N,13586,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5980107,212006RGRR-G2$,N,N,N,11999,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5980106,212006RGRR-G2$,N,N,N,11997,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5980110,212006RGRR-G2$,N,N,N,11997,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5921759,PS40041DRBR-B,N,N,N,13806,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5940882,MC7812SRGCR-CK,N,N,N,1995,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5982000,1409027RVER-LN,N,N,N,7754,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5967265,PS54678RTER-G2,N,N,N,13809,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5967261,PS54678RTER-G2,N,N,N,13774,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5970788,7A8300RGWR-G2K,N,N,N,5230,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5976476,V62090RGTR1-G2,N,N,N,13794,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5978515,A3221AIRGVR-ZK,N,N,N,10068,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5978516,A3221AIRGVR-ZK,N,N,N,9641,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5978996,PS62420DRCR-RY,N,N,N,16922,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5981020,TPS54622RHLR-L,N,N,N,14242,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
5984731,PS54320RHLR-G2,N,N,N,15104,cannot be processed due to two possible reasons(1) lack of machine or tooling(2) the device is not contained in route.csv
